No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
155,2026/8/2,2026年8月2日.,18:35,丹波山村,上岡地内,晴れ,農道を散歩中、目の前にクマを確認した。クマは逃げて行った。,近隣住民,農道,防災無線による注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7932556,138.9176914
156,2026/8/3,2026年8月3日.,14:00,早川町,雨畑,晴れ,県営林道を下見原集落の方へ下っていった,工事業者,道路沿い,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.411026,138.335544
157,2026/8/3,2026年8月3日.,17:00,道志村,下善之木地区,晴れ,村道脇の屋外に設置されていた冷蔵庫が荒らされており、足跡からクマが出没したことを確認した。,近隣住民,村道,告知端末による注意喚起、現場確認及びパトロール実施。,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,"35.49557612608502, ",138.9893191
158,2026/8/4,2026年8月4日.,22:50,中央市,高部地内,晴れ,浅利橋南の土手を南進,近隣住民,市街地,警察署及び市産業課でパトロール、防災無線による注意喚起,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.585734,138.551425
159,2026/8/5,2026年8月5日.,17:00,丹波山村,貝沢地内,晴れ,林道をパトロール中、クマらしき動物のものとみられる痕跡(足跡)を発見した。,鳥獣害パトロール中の猟友会員,林道,防災無線による注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.78739842,138.9119906
160,2026/8/5,2026年8月5日.,20:00,都留市,大野地内,晴れ,車で移動中、県道を東から西へ横切るのを目撃,通行者,民家、農地、山林が混在する地域,警察・猟友会・市とで情報共有、現地確認とパトロール及び注意喚起。,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.520546,138.925866
161,2026/8/5,2026年8月5日.,20:55,身延町,相又地内,晴れ,山へ行った,警邏中の警察,山間部の集落,アプリによる情報配信,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.345492,138.424452
162,2026/8/6,2026年8月6日.,18:35,都留市,大幡地内,晴れ,車で移動中、県道を西の山中を走るコグマを目撃,通行者,山中,防災無線による注意喚起、警察署・猟友会・市とで情報共有。,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.569714,138.860193
163,2026/8/7,2026年8月7日.,8:30,早川町,薬袋,晴れ,町道をウロウロし山の方に向かっていった,帰省者,道路沿い,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.423679,138.370279
164,2026/8/9,2026年8月9日.,7:00,丹波山村,奥秋地内,晴れ,畑で作業しようとしたところ、クマらしき動物のものとみられる痕跡(足跡)を発見した。,農業者,山間部の畑,防災無線による注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.79508061,138.9152161
165,2026/8/9,2026年8月9日.,14:00,富士吉田市,上吉田地内,曇り,吉田口登山道沿い一合目鈴原社付近,登山客,登山道,市職員によるパトロール,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.407453,138.757525
166,2026/8/10,2026年8月10日.,16:00,富士吉田市,上吉田地内,曇り,市道東富士１号線沿い自動車教習所付近,自動車運転手,林間部の公道,防災無線による注意喚起、市職員によるパトロール。,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4606669,138.7790947
167,2026/8/10,2026年8月10日.,16:00,市川三郷町,垈地内,晴れ,目撃者が県道を市川方面に車で走行しているところ、東の川側から県道を横断し、西側の民家の塀に激突したのち、東の川側へ戻って行った。,帰省中の方,県道笛吹市川三郷線と山に挟まれた畑,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施。,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.53797,138.54711
168,2026/8/10,2026年8月10日.,19:30,大月市,大月町真木,晴れ,親子（親1・子1頭）の熊が集落と逆側の山へ登って行った。,近隣住民,山間部の畑,山林内のため、防災無線は流さなかったが、猟友会が注意喚起とパトロールを実施,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.60797676,138.900998
169,2026/8/12,2026年8月12日.,1:00,中央市,高部地内,曇り,浅利川沿いの道路を走っていた,近隣住民,市街地,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.578674,138.550092
170,2026/8/12,2026年8月12日.,19:00,大月市,笹子町黒野田,晴れ,国道20号の歩道を歩いていたが、バスの光に反応して南の方へ移動した。,バス運転者,山間部の公道（国道）,山林内のため、防災無線は流さなかったが、猟友会が注意喚起とパトロールを実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.6053023,138.8069195
171,2026/8/13,2026年8月13日.,8:50,早川町,薬袋地内,晴れ,町道を山の方に登っていった,消防署員,道路沿い,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.422467,138.352165
172,2026/8/15,2026年8月15日.,23:00,小菅村,橋立地内,晴れ,養魚場内で目撃。,飼育員,養魚場内,地区放、村内LINEによる注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7639974,138.9377162
173,2026/8/18,2026年8月18日.,5:30,道志村,下善之木地区,晴れ,目撃時、村道脇のウッドデッキ内を物色後に山の方へ移動していった。,近隣住民,村道,告知端末による注意喚起、現場確認及びパトロール実施、猟友会への対策を依頼。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.49526839,138.9896729
174,2026/8/18,2026年8月18日.,20:45,北杜市,武川町山高地内,晴れ,庭にある木に登り、実を食べていたところを目撃。その後、木を下り一度東側へ歩いて行った後、しばらくして自宅北側の空地へ向かった。,近隣住民,山間部の集落,LINE通報システムによる連絡。防災無線及びホームページによる周知、林政課職員によるパトロール、各関係機関への情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.77369,138.34123
175,2026/8/19,2026年8月19日.,16:00,市川三郷町,八之尻地区,晴れ,ヘルパーさんが利用者宅に訪問した際に、利用者宅の付近に小熊らしきけものが南西に逃げた。,訪問介護ヘルパー,山に囲まれた小さい集落。,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施。,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.53318375,138.4838002
176,2026/8/20,2026年8月20日.,7:00,南アルプス市,東南湖地内,曇り,,,,,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,,
